 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,695858,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,16717.49121,12.93367325,86982.25,245721.5845,695112,3,616,308.0,356.3818177,560,56,695818,139163.6,310784.7187,695112,3,0,0,0,0,72,132,4.311224416,8.622448833,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,80630215,8,4,56,11601,20,0,7.0,5.656854249,5840,0,2900.25,3345.636997,144.5735944,0.148827583,7330019.545,21300000.0,71200000,3,79400000,11300000.0,26600000.0,71200000,3,1263330,421110.0,725250.2748,1258553,180,0,0,0,0,172,92,0.099218389,0.049609194,0,5840,897.1538462,2174.910107,4730233.974,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,3028.0,0.0,3028,3028,39700000.0,44600000.0,71200000,8171785,DDoS
80,1731025,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,6716.829624,5.199231669,216378.125,606636.1302,1717684,5,13033,6516.5,9208.651611,13028,5,1731010,346202.0,766702.3733,1717684,13,0,0,0,0,72,132,1.733077223,3.466154446,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,176840,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,65782.62836,50.89346302,22105.0,62066.21894,175710,3,948,474.0,531.7442995,850,98,176707,35341.4,78469.32628,175710,3,0,0,0,0,72,132,16.96448767,33.92897534,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,39800,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,292286.4322,201.0050251,5685.714286,14659.48011,38927,5,689,344.5,417.9001077,640,49,39754,9938.5,19327.73583,38927,5,0,0,0,0,72,112,75.37688442,125.6281407,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
443,63209728,7,2,187,92,46,6,26.71428571,20.0890873,46,46,46.0,0.0,4.41387756,0.142383147,7901216.0,20700000.0,58900000,3,63200000,10500000.0,23800000.0,58900000,3,59000000,59000000.0,0.0,59000000,59000000,1,0,0,0,140,40,0.110742448,0.031640699,6,46,32.5,18.86354509,355.8333333,0,1,0,0,1,0,0,0,0,36.11111111,26.71428571,46.0,140,0,0,0,0,0,0,7,187,2,92,257,132,6,20,91730.0,0.0,91730,91730,58900000.0,0.0,58900000,58900000,BENIGN
80,7624,3,3,26,11601,20,0,8.666666667,10.26320288,11595,0,3867.0,6692.644993,1525052.466,786.9884575,1524.8,2183.077461,4942,2,4970,2485.0,3511.492275,4968,2,7598,3799.0,1839.891845,5100,2498,0,0,0,0,72,72,393.4942288,393.4942288,0,11595,1661.0,4380.487987,19200000.0,0,0,0,1,0,0,0,0,1,1937.833333,8.666666667,3867.0,72,0,0,0,0,0,0,3,26,3,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,78903,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,147434.1913,101.3903147,11271.85714,29316.28593,77753,4,878,439.0,445.4772721,754,124,78826,19706.5,38699.49104,77753,4,0,0,0,0,72,112,38.02136801,63.36894668,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,88621415,8,6,56,11607,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,131.6047594,0.157975361,6817031.923,23100000.0,83400000,2,88500000,12600000.0,31300000.0,83400000,110,131285,26257.0,57978.88253,129970,2,0,0,0,0,172,132,0.090271635,0.067703726,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,1817.0,0.0,1817,1817,44200000.0,55400000.0,83400000,5054029,DDoS
80,546051,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,21303.87088,12.81931541,91008.5,222585.5048,545359,3,651,325.5,456.0838739,648,3,546016,182005.3333,314673.6722,545359,5,0,0,0,0,72,92,5.493992319,7.325323093,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,901363,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,12899.35353,9.984878456,112670.375,302074.3526,859434,5,40989,20494.5,28976.52879,40984,5,901269,180253.8,380098.1752,859434,14,0,0,0,0,72,132,3.328292819,6.656585638,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
21409,8952480,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,4.021232106,0.670205351,1790496.0,3986322.714,8921434,4,0,0.0,0.0,0,0,8940431,2235107.75,4457558.485,8921434,4,0,0,0,0,20,100,0.111700892,0.558504459,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,31046.0,0.0,31046,31046,8921434.0,0.0,8921434,8921434,BENIGN
80,912326,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,12744.34796,8.768795365,130332.2857,338781.6317,898544,30,12804,6402.0,8966.113985,12742,62,912296,228074.0,447018.0089,898544,198,0,0,0,0,72,112,3.288298262,5.480497103,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1119972,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,26.78638395,4.464397324,279993.0,559319.529,1118972,1,1119972,279993.0,559319.529,1118972,1,0,0.0,0.0,0,0,0,0,0,0,100,0,4.464397324,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,61286,2,2,64,204,32,32,32.0,0.0,102,102,102.0,0.0,4372.939986,65.26776099,20428.66667,35376.56041,61278,3,3,3.0,0.0,3,3,5,5.0,0.0,5,5,0,0,0,0,64,40,32.63388049,32.63388049,32,102,60.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1,75.0,32.0,102.0,64,0,0,0,0,0,0,2,64,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,119090,23,28,1169,45025,570,0,50.82608696,156.1373673,2896,0,1608.035714,902.027366,387891.5106,428.2475439,2381.8,6806.153122,23148,2,119090,5413.181818,9746.978426,23868,48,95911,3552.259259,8188.878934,23922,2,0,0,0,0,744,904,193.1312453,235.1162986,0,2896,888.3461538,1028.323762,1057449.76,0,0,0,1,0,0,0,0,1,905.7647059,50.82608696,1608.035714,744,0,0,0,0,0,0,23,1169,28,45025,29200,61,4,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5467896,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,5.486571069,0.914428511,1366974.0,2731960.788,5464915,4,5467896,1366974.0,2731960.788,5464915,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.914428511,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2981.0,0.0,2981,2981,5464915.0,0.0,5464915,5464915,DDoS
80,1033192,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,11259.28191,7.742994526,147598.8571,390004.5886,1032046,42,805,402.5,412.2432534,694,111,1033150,258287.5,515839.1087,1032046,76,0,0,0,0,72,112,2.903622947,4.839371579,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,47654,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,243987.9129,188.8613758,5956.75,14003.94713,40226,44,41029,20514.5,28023.34885,40330,699,47550,9510.0,17854.61281,41102,44,0,0,0,0,72,132,62.95379192,125.9075838,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,38123,3,4,26,11601,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,304986.4911,183.6161897,6353.833333,12203.21868,30658,3,7004,3502.0,4948.333255,7001,3,37961,12653.66667,15970.73594,30658,195,0,0,0,0,72,92,78.69265273,104.923537,0,10135,1453.375,3544.652026,12600000.0,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
62888,10104148,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,4.15670871,0.692784785,1684024.667,4115502.857,10100000,3,0,0.0,0.0,0,0,10100000,2018355.2,4509254.696,10100000,3,0,0,0,0,20,120,0.098969255,0.59381553,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857142857,6.0,6.0,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,19394.0,0.0,19394,19394,10100000.0,0.0,10100000,10100000,BENIGN
80,78420,2,4,20,11601,20,0,10.0,14.14213562,8760,0,2900.25,4128.319301,148189.2374,76.51109411,15684.0,28897.08393,66727,54,10878,10878.0,0.0,10878,10878,78366,26122.0,35542.76172,66727,651,0,0,0,0,52,92,25.50369804,51.00739607,0,8760,1660.142857,3303.602601,10900000.0,0,0,0,1,0,0,0,0,2,1936.833333,10.0,2900.25,52,0,0,0,0,0,0,2,20,4,11601,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
443,3364877,5,6,279,188,216,0,55.8,91.87056112,137,2,31.33333333,52.8229748,138.7866481,3.269064516,336487.7,924322.2662,2960821,3,243258,60814.5,69900.17553,121627,231,3243883,648776.6,1294466.876,2960821,3,0,0,0,0,120,124,1.485938416,1.783126099,0,216,38.91666667,68.08879007,4636.083333,0,0,0,1,0,0,0,0,1,42.45454545,55.8,31.33333333,120,0,0,0,0,0,0,5,279,6,188,29200,30016,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6016985,11,7,354,4810,197,0,32.18181818,66.52340668,1448,0,687.1428571,659.4946117,858.2371404,2.991531473,353940.2941,1427226.848,5892139,8,6016985,601698.5,1858939.561,5892139,49,100918,16819.66667,30110.4874,75058,161,0,0,0,0,360,232,1.828158122,1.163373351,0,1448,271.7894737,503.7019157,253715.6199,0,0,0,1,0,0,0,0,0,286.8888889,32.18181818,687.1428571,360,0,0,0,0,0,0,11,354,7,4810,29200,939,3,32,124797.0,0.0,124797,124797,5892139.0,0.0,5892139,5892139,BENIGN
80,3330922,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.205212251,1.200868708,1110307.333,1923104.383,3330917,1,3330922,1110307.333,1923104.383,3330917,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.200868708,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,68181,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,170531.3797,102.6678987,11363.5,25680.89049,63699,47,4027,2013.5,2707.511865,3928,99,68069,22689.66667,35559.55279,63699,408,0,0,0,0,72,92,44.00052801,58.66737068,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,46449,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2558.396197,250446.7265,193.7608991,5806.125,15843.35495,45013,1,870,435.0,373.3523805,699,171,46401,9280.2,19980.75716,45013,1,0,0,0,0,72,132,64.58696635,129.1739327,0,5840,1163.3,2151.187375,4627607.122,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,7527881,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.985185207,0.664197534,1881970.25,3763152.5,7526699,339,7527881,1881970.25,3763152.5,7526699,339,0,0.0,0.0,0,0,0,0,0,0,100,0,0.664197534,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1182.0,0.0,1182,1182,7526699.0,0.0,7526699,7526699,DDoS
53,119057113,2,2,85,216,43,42,42.5,0.707106781,129,87,108.0,29.69848481,2.528198378,0.033597321,39700000.0,68100000.0,118000000,23498,119000000,119000000.0,0.0,119000000,119000000,118000000,118000000.0,0.0,118000000,118000000,0,0,0,0,64,40,0.01679866,0.01679866,42,129,68.8,38.7453223,1501.2,0,0,0,0,0,0,0,0,1,86.0,42.5,108.0,64,0,0,0,0,0,0,2,85,2,216,-1,-1,1,32,657454.0,0.0,657454,657454,118000000.0,0.0,118000000,118000000,BENIGN
80,57716,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,201555.8944,138.6097443,8245.142857,21128.73621,56152,3,1356,678.0,683.0651506,1161,195,57698,14424.5,27825.30489,56152,3,0,0,0,0,72,112,51.9786541,86.63109017,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,262095,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,44384.66968,34.33869399,32761.875,92190.04621,260919,2,1074,537.0,753.7758287,1070,4,262037,52407.4,116562.3868,260919,2,0,0,0,0,72,132,11.44623133,22.89246266,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,98959,3,7,26,11601,20,0,8.666666667,10.26320288,4380,0,1657.285714,1548.670905,117493.1032,101.0519508,10995.44444,27956.27638,84614,50,13800,6900.0,9335.223725,13501,299,98905,16484.16667,33822.69711,84614,50,0,0,0,0,72,152,30.31558524,70.73636557,0,4380,1057.0,1460.382073,2132715.8,0,0,0,1,0,0,0,0,2,1162.7,8.666666667,1657.285714,72,0,0,0,0,0,0,3,26,7,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,98393043,8,6,56,11607,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,118.5348033,0.142286483,7568695.615,25800000.0,93200000,2,97900000,14000000.0,35000000.0,93200000,2,494871,98974.2,220744.3279,493853,3,0,0,0,0,172,132,0.081306561,0.060979921,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,4684897.0,0.0,4684897,4684897,93200000.0,0.0,93200000,93200000,DDoS
80,1861678,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,6248.66384,4.297198549,265954.0,703176.8068,1860609,3,940,470.0,453.9625535,791,149,1861633,465408.25,930133.9305,1860609,3,0,0,0,0,72,112,1.611449456,2.685749093,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,624251,3,5,26,11607,20,0,8.666666667,10.26320288,10220,0,2321.4,4455.182578,18635.13234,12.81535792,89178.71429,235562.449,623384,2,622,311.0,337.9970414,550,72,624207,156051.75,311554.9654,623384,2,0,0,0,0,72,112,4.805759222,8.009598703,0,10220,1292.555556,3378.299021,11400000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,9422310,7,5,50,11601,20,0,7.142857143,6.094494002,7300,0,2320.2,3022.508098,1236.533292,1.273573041,856573.6364,2186058.401,7328642,48,8349046,1391507.667,2935675.972,7328642,273,1093124,273281.0,533027.8394,1072702,182,0,0,0,0,152,112,0.742917607,0.530655434,0,7300,896.6923077,2101.720223,4417227.897,0,0,0,0,1,0,0,0,0,971.4166667,7.142857143,2320.2,152,0,0,0,0,0,0,7,50,5,11601,256,229,5,20,1000476.0,0.0,1000476,1000476,7328642.0,0.0,7328642,7328642,DDoS
80,78640176,8,5,56,11607,20,0,7.0,5.656854249,7215,0,2321.4,3327.769794,148.3084168,0.165309905,6553348.0,20800000.0,72500000,3,76800000,11000000.0,27200000.0,72500000,25,1831881,457970.25,915276.5705,1830885,4,0,0,0,0,172,112,0.101729172,0.063580733,0,7215,833.5,2175.302587,4731941.346,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,4356498.0,0.0,4356498,4356498,72500000.0,0.0,72500000,72500000,DDoS
80,1825713,3,4,26,11601,20,0,8.666666667,10.26320288,7215,0,2900.25,3540.00286,6368.470839,3.834118506,304285.5,741480.7578,1817815,49,7678,3839.0,5139.252086,7473,205,1825664,608554.6667,1047256.931,1817815,161,0,0,0,0,72,92,1.643193645,2.190924861,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
